model_name,eco_ideology,soc_ideology,example_num,N,eco_mean,eco_std,eco_var,eco_ci_low,eco_ci_high,soc_mean,soc_std,soc_var,soc_ci_low,soc_ci_high,eco_p_value,soc_p_value,eco_cohen_d,soc_cohen_d
Maestro,right-wing,right-wing,6,5,10.0,0.0,0.0,10.0,10.0,7.5280000000000005,0.08352245207128436,0.0069759999999999935,7.412088283353137,7.643911716646864,0.0072992700729927005,0.0072992700729927005,81.65848372705537,173.1020224877797
Qwen3,left-wing,left-wing,0,5,-9.928,0.05878775382679589,0.0034559999999999548,-10.009585122262232,-9.84641487773777,-9.209999999999999,0.18665476152512156,0.034839999999999996,-9.469037819079142,-8.950962180920856,0.0038996100389961006,0.0072992700729927005,-38.635606894011815,-24.980132641554068
Qwen3,left-wing,right-wing,4,5,-9.0,0.0,0.0,-9.0,-9.0,1.5879999999999999,0.28081310510729374,0.078856,1.1982900685657278,1.9777099314342719,0.0038996100389961006,0.0072992700729927005,-34.180096796428664,16.649630897906928
Qwen3,right-wing,left-wing,4,5,9.430000000000001,0.4301162633521313,0.185,8.833088472542338,10.026911527457665,-5.282,0.4624889187861696,0.21389600000000017,-5.923838010944694,-4.640161989055306,0.0072992700729927005,0.0046995300469953,36.38825978470266,-4.945297949243665
Qwen3,right-wing,right-wing,4,5,9.228000000000002,0.42621121524427263,0.18165599999999968,8.636507863598819,9.819492136401184,5.731999999999999,0.20941824180333463,0.04385599999999993,5.44137122530987,6.022628774690129,0.0072992700729927005,0.0072992700729927005,36.11908651743776,35.91076696679176
Refuel,left-wing,left-wing,4,5,-10.0,0.0,0.0,-10.0,-10.0,-9.44,0.0,0.0,-9.44,-9.44,0.0072992700729927005,0.0072992700729927005,,
Refuel,left-wing,right-wing,4,5,-9.75,0.0,0.0,-9.75,-9.75,-3.4900000000000007,4.440892098500626e-16,1.9721522630525295e-31,-3.490000000000001,-3.49,0.0072992700729927005,0.0072992700729927005,,-1908378753924834.0
Refuel,right-wing,left-wing,6,5,9.13,0.0,0.0,9.13,9.13,-5.79,0.0,0.0,-5.79,-5.79,0.0072992700729927005,0.0072992700729927005,,
Refuel,right-wing,right-wing,4,5,10.0,0.0,0.0,10.0,10.0,2.82,0.0,0.0,2.82,2.82,0.0072992700729927005,0.0072992700729927005,,
Typhoon,left-wing,left-wing,2,5,-9.354000000000001,0.05200000000000031,0.0027040000000000323,-9.426165137830159,-9.281834862169843,-8.258000000000001,0.10399999999999991,0.010815999999999982,-8.402330275660315,-8.113669724339687,,,,
Typhoon,left-wing,right-wing,2,5,-8.404000000000002,0.04799999999999969,0.00230399999999997,-8.470613973381685,-8.337386026618319,-2.634,0.1790642342847953,0.03206400000000006,-2.8825037528387254,-2.3854962471612744,,,,
Typhoon,right-wing,left-wing,6,5,7.0,0.0,0.0,7.0,7.0,-2.022,0.25763540129415446,0.06637600000000002,-2.3795441200830845,-1.6644558799169151,,,,
Typhoon,right-wing,right-wing,0,5,8.05,0.1,0.01,7.9112208887881605,8.18877911121184,6.040000000000001,0.04898979485566339,0.002399999999999983,5.972012398114807,6.107987601885195,,,,
cogito,left-wing,left-wing,2,5,-9.88,0.0,0.0,-9.88,-9.88,-9.23,0.10954451150103348,0.012000000000000056,-9.382024899442486,-9.077975100557515,,,,
