model_name,eco_mean,eco_std,eco_ci_low,eco_ci_high,soc_mean,soc_std,soc_ci_low,soc_ci_high
DeepSeek,-5.452,0.6902579228085688,-6.409933810343039,-4.4940661896569605,-4.144,0.4031674590043199,-4.703512216301554,-3.5844877836984463
GPT-5.2,-7.453999999999999,0.36865159703980666,-7.965611409840096,-6.942388590159902,-5.313999999999999,0.5686686205515474,-6.103193257342067,-4.5248067426579315
Kimi K2,-7.328,0.06368673331236258,-7.416383882450752,-7.239616117549248,-5.99,0.19141577782408614,-6.255645115183497,-5.724354884816504
Llama4,-4.677999999999999,0.6468817511724998,-5.575736744868779,-3.7802632551312185,-2.944,0.39792461597644346,-3.496236245345235,-2.391763754654765
Maestro,-5.528,0.24053274205396658,-5.861809201595961,-5.194190798404038,-5.362,0.043543082114154585,-5.422428702352265,-5.301571297647735
Qwen3,-4.028,0.184,-4.283353564629785,-3.7726464353702145,-3.25,0.23714974172450629,-3.5791143038064437,-2.9208856961935563
Refuel,-3.38,0.0,-3.38,-3.38,-2.82,0.0,-2.82,-2.82
